date,customer_id,order_id,product,quantity,price
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,"Комнатное растение в горшке Алое Вера, d12, h30",1,142.0
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,"Комнатное растение в горшке Кофе Арабика, d12, h25",1,194.0
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,Радермахера d-12 см h-20 см,1,112.0
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,Хризолидокарпус Лутесценс d-9 см,1,179.0
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,Циперус Зумула d-12 см h-25 см,1,112.0
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,Шеффлера Лузеана d-9 см,1,164.0
2018100100,ee47d746-6d2f-4d3c-9622-c31412542920,68477,Юкка нитчатая d-12 см h-25-35 см,1,134.0
2018100108,375e0724-f033-4c76-b579-84969cf38ee2,68479,Настенная сушилка для белья Gimi Brio Super 100,1,824.0
2018100108,6644e5b4-9934-4863-9778-aaa125207701,68478,"Таз пластмассовый 21,0 л круглый ""Водолей"" С614, 1404056",1,269.0
2018100109,c971fb21-d54c-4134-938f-16b62ee86d3b,68480,Чехол для гладильной доски Colombo Persia Beige 130х50 см из хлопка 5379,1,674.0
2018100111,161e1b98-45ba-4b4e-8236-e6e3e70f6f7c,68483,"Вешалка для брюк металлическая с резиновым покрытием 26 см цвет: синяя, Attribute, AHS331",10,82.0
2018100112,86432d8d-b706-463b-bd5d-6a9e170daee3,68484,"Сушилка для белья потолочная Zalger Lift Basic 1520 200 см, 10 м",1,614.0
2018100113,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68485,Чехол Eurogold Clean Basic хлопок для досок 120х38-120х42 см C42,1,187.0
2018100115,0948b0c2-990b-4a11-b835-69ac4714b21d,68486,"Крючок одежный 2-х рожковый серый металлик с полимерным покрытием *Тонар*, 1110027",96,38.0
2018100116,a576fa59-7b28-4a4c-a496-92f128754a94,68487,"Корзина мягкая пластиковая 17 л, М-пластика, M2880",1,188.0
2018100118,17213b88-1514-47a4-b8aa-ce51378ab34e,68476,"Мини-сковорода Marmiton ""Сердце"" с антипригарным покрытием 12 см, LG17085",1,239.0
2018100118,17213b88-1514-47a4-b8aa-ce51378ab34e,68476,Сковорода алюминиевая с антипригарным покрытием MARBLE ALPENKOK d = 26 см AK-0039A/26N,1,824.0
2018100118,17213b88-1514-47a4-b8aa-ce51378ab34e,68476,Стеклянная крышка для сковороды ALPENKOK 26 см AK-26GL,1,262.0
2018100118,17213b88-1514-47a4-b8aa-ce51378ab34e,68476,"Сушилка для белья напольная Colombo Star 18, 3679",1,1049.0
2018100121,b731df05-98fa-4610-8496-716ec530a02c,68474,Доска гладильная Eurogold Professional 130х48 см металлическая сетка 35748W,1,3299.0
2018100208,c971fb21-d54c-4134-938f-16b62ee86d3b,68490,Чехол для гладильной доски Festival 137x60 см из хлопка 4738,1,1162.0
2018100210,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68491,Сумка-тележка 2-х колесная Gimi Argo синяя,1,1049.0
2018100211,f08d9018-438e-4e96-b519-f74c0302a433,14480,"Многолетнее растение Тимьян-чабрец розовый объем 0,5 л",1,89.0
2018100211,f08d9018-438e-4e96-b519-f74c0302a433,14480,"Рассада зелени для кухни Базилик Тонус, кассета по 6шт",1,169.0
2018100211,f08d9018-438e-4e96-b519-f74c0302a433,14480,Рассада зелени для кухни Мелиссы в горшке диам. 9 см,1,101.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж ""Райские Яблочки Зеленые"" 2 шт полиуретан, d 3 см",1,29.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Банан, желтый, 21 см, полиуретан, Fancy Fair/ff XJ210",1,59.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,Муляж Виноград 14 см цвет в ассортименте,1,104.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж ГРАНАТ 9см, красный, Fancy Fair, SL90, красный",1,59.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Груша мини 2 шт, желтая 4 см",1,29.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Груша, желтый, 9,5 см, полиуретан, Fancy Fair/ff LI95-03",1,59.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,Муляж Зеленое яблоко полиуретан d-6 см,1,22.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,Муляж Клубника 1 шт полиуретан d-6 см,1,22.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,Муляж Клубника на магните,1,37.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,Муляж Красное яблоко мини полиуретан d-6 см,1,22.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Лимон, желтый, 9 см, полиуретан, Fancy Fair/ff NM90",1,59.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Мандарин, оранжевый, 8 см, полиуретан, Fancy Fair/ff JZ80",1,52.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Перец, зеленый, 10 см, полиуретан, Fancy Fair/ff GP8",1,104.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Перец, красный, 10 см, полиуретан, Fancy Fair/ff RP8",1,104.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,Муляж Персики мини полиуретан d-6 см,1,22.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж Томат, оранжевый, 9 см, полиуретан, Fancy Fair/ff T9",1,104.0
2018100211,1bc8ad38-3392-4042-8cde-aa5de306c947,68494,"Муляж ЧЕРЕШНЯ 3см 10 шт., желтый, Fancy Fair, SCR30/10, желтый",1,89.0
2018100211,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68493,"Щетка-сметка 3-х рядная деревянная 450 мм (плоская ручка), Поиск Риф 1801095",15,49.0
2018100211,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68493,"Щетка-сметка 4-х рядная деревянная 300 мм (фигурная ручка) ворс 5,5 см 1801096",15,70.0
2018100213,32a85453-f14d-40c2-90ba-3851498a5f3b,68460,"Сумка для тележки большая комбинированная 45*30*25, 1209021",1,374.0
2018100214,9d05bf55-76d8-4efa-8617-435f92fe83f1,68504,"Тарелка обеденная ЛИМОН ФИЦ 25см, G9547, Luminarc, Франция",6,206.0
2018100214,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68503,"Вилка столовая RIPPLE сталь 3 мм, 3 шт, Attribute, ACR013",1,187.0
2018100214,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68503,"Ложка столовая RIPPLE сталь 3 мм, 3 шт, Attribute, ACR023",1,202.0
2018100214,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68503,"Ложка чайная RIPPLE сталь 2,5 мм, 3 шт, Attribute, ACR033",1,142.0
2018100214,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68503,"Нож столовый RIPPLE 80 г 2 шт, Attribute, ACR042",1,172.0
2018100215,4d93d3f6-8b24-403b-a74b-f5173e40d7db,68506,"Герань домашняя (пеларгония зональная) цветущая D12, H25-30, коралловая, полумахровая",11,142.0
2018100215,494a90f5-2198-4212-8fc9-e3e22ad7afd9,68505,"Ерш для туалета с подставкой MALIBU фарфор 47х12,5 см белый, Spirella, 1001768",1,3524.0
2018100217,49b9c587-c19e-4481-bace-967aeac357fa,14481,Пеларгония зональная диам. 12 см малиновая с красным полумахровая,1,150.0
2018100217,49b9c587-c19e-4481-bace-967aeac357fa,14481,Пеларгония зональная диам. 12 см сиренево-красная простая,1,150.0
2018100217,49b9c587-c19e-4481-bace-967aeac357fa,14481,Пеларгония зональная диам. 12 см сиреневый полумахровый,1,150.0
2018100217,49b9c587-c19e-4481-bace-967aeac357fa,14481,Пеларгония зональная диам. 12 см сиреневый простая,1,150.0
2018100218,5f75c73a-1305-4079-b040-2bcb42085002,68509,Сушилка для белья настенная Zalger Prima 510-720 веревочная 7 линий 25 м,1,299.0
2018100218,649c4398-a4c4-4d01-b29b-f14704ce6e17,68508,"Котел алюминиевый 70,0 л без крышки Балезино, Хозлэнд, 1502050",1,2924.0
2018100218,b731df05-98fa-4610-8496-716ec530a02c,68474,Доска гладильная Eurogold Professional 130х48 см металлическая сетка 35748W,1,3299.0
